label,text
ham,Ok lar... Joking wif u oni
ham,Even my brother is not like to speak with me. They treat me like aids patent.
ham,As per your request your GPRS settings have been updated on your mobile
spam,Free entry in 2 a weekly competition to win FA Cup final tkts text FA to 87121 T&C's apply
spam,WINNER!! You have won a £1000 Vodafone prize. To claim reply CLAIM
ham,I'll be there in 10 mins
spam,URGENT! Your Mobile No was awarded a Prize
ham,I love you baby
spam,You have won 2000 pounds cash! To claim call 09050002311
ham,I'll call you later
spam,Call 09061701461 to claim your reward
ham,No problem see you soon
spam,Congratulations! You have won a free ticket. Text WIN to 80082
ham,I'll bring the documents
spam,Exclusive offer! Buy 1 get 1 free. Reply YES to claim
ham,Ok I'm fine. How about you?
spam,You have been specially selected to receive £3500 cash. Call now
ham,Thanks, I'll be there
spam,FreeMsg: Txt: CALL to No: 86888
ham,See you at the meeting
label,text
ham,Ok lar... Joking wif u oni
ham,Even my brother is not like to speak with me. They treat me like aids patent.
ham,As per your request your GPRS settings have been updated on your mobile
spam,Free entry in 2 a weekly competition to win FA Cup final tkts text FA to 87121 T&C's apply
spam,WINNER!! You have won a £1000 Vodafone prize. To claim reply CLAIM
ham,I'll be there in 10 mins
spam,URGENT! Your Mobile No was awarded a Prize
ham,I love you baby
spam,You have won 2000 pounds cash! To claim call 09050002311
ham,I'll call you later
spam,Call 09061701461 to claim your reward
ham,No problem see you soon
spam,Congratulations! You have won a free ticket. Text WIN to 80082
ham,I'll bring the documents
spam,Exclusive offer! Buy 1 get 1 free. Reply YES to claim
ham,Ok I'm fine. How about you?
spam,You have been specially selected to receive £3500 cash. Call now
ham,Thanks, I'll be there
spam,FreeMsg: Txt: CALL to No: 86888
ham,See you at the meeting
